codigo,nome,marca,categoria,subcategoria,preco_brl,volume,tipo_pele,ativos_principais,indicacoes,seguro_gestante,vegano,estoque,avaliacao
LB-0001,Sérum Niacinamida 10% + Zinco,Lumina Lab,Tratamento,Sérum,89.90,30ml,oleosa;mista;acneica,Niacinamide;Zinc PCA,controle de oleosidade;poros dilatados;marcas de acne,sim,sim,142,4.7
LB-0002,Sérum Vitamina C 15% + Ácido Ferúlico,Lumina Lab,Tratamento,Sérum,159.90,30ml,todas,Ethyl Ascorbic Acid;Ferulic Acid;Tocopherol,manchas;viço;antioxidante,sim,sim,68,4.8
LB-0003,Sérum Ácido Hialurônico 2%,Lumina Lab,Tratamento,Sérum,74.90,30ml,todas,Sodium Hyaluronate;Panthenol,hidratação profunda;linhas de desidratação,sim,sim,203,4.6
LB-0004,Retinol 0.3% em Sérum Encapsulado,Lumina Lab,Tratamento,Sérum,139.90,30ml,mista;oleosa;madura,Retinol;Squalane,linhas finas;renovação celular;acne,nao,sim,54,4.5
LB-0005,Retinal 0.05% Noite Avançada,Lumina Lab,Tratamento,Sérum,189.90,30ml,mista;normal;madura,Retinal;Ceramide NP,antienvelhecimento;textura irregular,nao,sim,31,4.9
LB-0006,Granactive Retinoid 2% Suave,Lumina Lab,Tratamento,Sérum,124.90,30ml,sensivel;mista;normal,Hydroxypinacolone Retinoate;Squalane,primeira vez com retinoide;pele reativa,nao,sim,47,4.6
LB-0007,Bakuchiol 1% Alternativa Vegetal,Lumina Lab,Tratamento,Sérum,109.90,30ml,sensivel;seca;madura,Bakuchiol;Squalane,antienvelhecimento sem irritação,consultar,sim,39,4.4
LB-0008,Ácido Azelaico 10% Creme,Lumina Lab,Tratamento,Creme,94.90,30g,acneica;sensivel;mista,Azelaic Acid;Niacinamide,rosácea;manchas;acne inflamatória,sim,sim,86,4.7
LB-0009,Ácido Salicílico 2% Solução,Lumina Lab,Tratamento,Tônico,69.90,120ml,oleosa;acneica,Salicylic Acid;Betaine,cravos;poros obstruídos,nao,sim,118,4.5
LB-0010,Ácido Mandélico 8% Noturno,Lumina Lab,Tratamento,Sérum,99.90,30ml,sensivel;acneica;mista,Mandelic Acid;Allantoin,esfoliação suave;pele morena e negra,nao,sim,42,4.6
LB-0011,Ácido Glicólico 7% Tônico Renovador,Lumina Lab,Tratamento,Tônico,84.90,150ml,oleosa;mista;normal,Glycolic Acid;Aloe Barbadensis Leaf Juice,textura;luminosidade,nao,sim,73,4.3
LB-0012,PHA Gluconolactona 10% Gel,Lumina Lab,Tratamento,Gel,89.90,50ml,sensivel;seca;normal,Gluconolactone;Panthenol,esfoliação para pele reativa,sim,sim,35,4.5
LB-0013,Alfa-Arbutin 2% + Ácido Tranexâmico,Lumina Lab,Tratamento,Sérum,119.90,30ml,todas,Alpha-Arbutin;Tranexamic Acid,melasma;manchas pós-acne,sim,sim,61,4.8
LB-0014,Peptídeos Matrixyl 3000 Firmeza,Lumina Lab,Tratamento,Sérum,149.90,30ml,madura;seca;normal,Palmitoyl Tripeptide-1;Sodium Hyaluronate,firmeza;colágeno;linhas de expressão,sim,sim,44,4.6
LB-0015,Cica Repair Sérum Calmante,Lumina Lab,Tratamento,Sérum,79.90,30ml,sensivel;acneica;todas,Centella Asiatica Extract;Panthenol;Beta-Glucan,vermelhidão;pós-procedimento;barreira,sim,sim,157,4.9
LB-0101,Hidratante Ceramidas Barreira,Lumina Care,Hidratação,Creme facial,79.90,50g,seca;sensivel;normal,Ceramide NP;Cholesterol;Squalane,barreira comprometida;ressecamento,sim,sim,188,4.8
LB-0102,Gel Hidratante Oil-Free,Lumina Care,Hidratação,Gel facial,64.90,50g,oleosa;mista;acneica,Sodium Hyaluronate;Niacinamide;Betaine,hidratação leve;toque seco,sim,sim,211,4.6
LB-0103,Creme Nutritivo Karité Noturno,Lumina Care,Hidratação,Creme facial,98.90,50g,seca;madura,Butyrospermum Parkii Butter;Ceramide NP;Tocopherol,pele muito seca;nutrição noturna,sim,nao,72,4.7
LB-0104,Esqualano Vegetal Puro,Lumina Care,Hidratação,Óleo facial,69.90,30ml,todas,Squalane,selar hidratação;pele desidratada,sim,sim,134,4.7
LB-0105,Bruma Hidratante Pantenol,Lumina Care,Hidratação,Bruma,49.90,150ml,todas,Panthenol;Glycerin;Aloe Barbadensis Leaf Juice,refrescar durante o dia;fixar maquiagem,sim,sim,96,4.2
LB-0106,Creme Corporal Aveia Coloidal,Lumina Care,Hidratação,Corpo,54.90,200g,seca;sensivel,Colloidal Oatmeal;Glycerin;Ceramide NP,pele atópica;coceira;ressecamento,sim,sim,143,4.8
LB-0107,Manteiga Corporal Karité Intensa,Lumina Care,Hidratação,Corpo,62.90,200g,seca,Butyrospermum Parkii Butter;Tocopherol,pele muito seca;cotovelos e joelhos,sim,nao,88,4.6
LB-0201,Protetor Solar Facial FPS 60 Toque Seco,Lumina Sun,Proteção solar,Facial,109.90,50g,oleosa;mista;acneica,Tinosorb S;Ethylhexyl Triazone;Niacinamide,uso diário;pele oleosa;não comedogênico,sim,sim,176,4.7
LB-0202,Protetor Solar Facial FPS 50 Com Cor,Lumina Sun,Proteção solar,Facial,124.90,40g,todas,Tinosorb M;Titanium Dioxide;Iron Oxides,cobertura leve;melasma;luz visível,sim,sim,94,4.8
