inci,nome_popular,sinonimos,categoria,funcao,comedogenicidade,tipos_de_pele,evitar_em,alertas,nivel_de_atencao
Aqua,Agua,water;eau;agua;aqua/water/eau;purified water,veiculo,Solvente principal da formula; dissolve os ativos hidrossoluveis e define a textura.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Glycerin,Glicerina,glycerol;glicerina;glycerine,umectante,Umectante classico: puxa agua para a camada superficial da pele e reduz a perda de hidratacao.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Butylene Glycol,Butilenoglicol,"1,3-butylene glycol;bg",veiculo,Solvente e umectante leve; melhora a penetracao de outros ativos e deixa toque seco.,1,oleosa;mista;seca;normal;acneica,,pode irritar pele muito reativa em alta concentracao,ok
Propylene Glycol,Propilenoglicol,"pg;1,2-propanediol",veiculo,Solvente e umectante; carrega ativos para dentro da formula e evita ressecamento do produto.,2,oleosa;mista;seca;normal,dermatite de contato conhecida a glicois,alergeno de contato relativamente comum,atencao
Pentylene Glycol,Pentilenoglicol,"1,2-pentanediol",veiculo,Umectante com acao antimicrobiana leve; ajuda a reduzir a carga de conservantes da formula.,0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Propanediol,Propanodiol,"1,3-propanediol",umectante,"Umectante de origem vegetal, alternativa mais suave ao propilenoglicol.",0,oleosa;mista;seca;normal;sensivel;acneica,,,ok
Alcohol Denat.,Alcool desnaturado,alcohol denat;sd alcohol 40;sd alcohol 40-b;denatured alcohol;alcool desnaturado,veiculo,"Solvente volatil: da toque seco e secagem rapida, muito usado em protetores e produtos oil-free.",0,oleosa;mista,pele seca;pele sensivel;rosacea;barreira cutanea comprometida;uso junto de acidos ou retinoides,ressecante;pode comprometer a barreira cutanea em uso frequente,atencao
Sodium Hyaluronate,Acido hialuronico (sal de sodio),hyaluronic acid;acido hialuronico;hydrolyzed hyaluronic acid;sodium acetylated hyaluronate,umectante,Retem agua na pele e da efeito de preenchimento superficial imediato.,0,oleosa;mista;seca;normal;sensivel;acneica;madura,,"em clima muito seco, use sobre pele umida e sele com hidratante para nao ressecar",ok
Panthenol,Pantenol (pro-vitamina B5),d-panthenol;dexpanthenol;provitamin b5;pantenol,reparador,"Hidrata, acalma e apoia a recuperacao da barreira cutanea; classico em pos-procedimento.",0,oleosa;mista;seca;normal;sensivel;acneica;madura,,,ok
Urea,Ureia,carbamide;ureia,umectante,"Umectante e queratolitico dependente da dose: ate 10% hidrata, acima disso esfolia e amacia.",0,seca;normal;madura,pele com fissuras ou feridas;rosto sensivel em alta concentracao,pode arder em pele lesionada,ok
